iter	MultiClass
0	1.084234038
1	1.071054117
2	1.057624309
3	1.045364228
4	1.034521124
5	1.023346266
6	1.012857775
7	1.002531801
8	0.9927596845
9	0.9834065576
10	0.974084752
11	0.9659361853
12	0.9582311299
13	0.9503688427
14	0.9425696692
15	0.9359102874
16	0.9291921008
17	0.9225996886
18	0.9162736792
19	0.9102492192
20	0.9044687624
21	0.8992760177
22	0.8942085284
23	0.8893624423
24	0.8848912239
25	0.8800860493
26	0.8755944333
27	0.8708883237
28	0.8668104376
29	0.8629321565
30	0.8591658555
31	0.8556005686
32	0.8522215399
33	0.848694418
34	0.8451180246
35	0.8418009292
36	0.838561973
37	0.8354657472
38	0.8326566558
39	0.8301785204
40	0.8275187808
41	0.8249185415
42	0.822374938
43	0.8199326697
44	0.8174461131
45	0.8151344407
46	0.813086664
47	0.8108482788
48	0.8089156054
49	0.8069541753
50	0.8048131923
51	0.8030452241
52	0.8010126487
53	0.7994810562
54	0.7978677947
55	0.7964266929
56	0.7948830566
57	0.7930975156
58	0.7913051942
59	0.78999171
60	0.7886036054
61	0.7873187989
62	0.7862043864
63	0.7854423107
64	0.7842654817
65	0.7829700459
66	0.7819143314
67	0.7806232762
68	0.7794759126
69	0.7785475413
70	0.7775071458
71	0.7764266925
72	0.7757146708
73	0.7748596535
74	0.7736878772
75	0.7725664125
76	0.7718550027
77	0.770890653
78	0.7702834288
79	0.7695884282
80	0.7688131545
81	0.7678862587
82	0.7669740474
83	0.7658871833
84	0.7651587787
85	0.7647314834
86	0.7640709232
87	0.7635539554
88	0.7630881247
89	0.7623824947
90	0.761789503
91	0.7613350046
92	0.7607497723
93	0.760370152
94	0.7598784369
95	0.7592170259
96	0.758554362
97	0.7575745262
98	0.7571642696
99	0.7565670658
100	0.7561159655
101	0.7556120579
102	0.7551749646
103	0.7549216302
104	0.7546760808
105	0.7543312052
106	0.7540282991
107	0.7530516782
108	0.7528459005
109	0.7523823768
110	0.7520537361
111	0.7517557859
112	0.7515036268
113	0.7512469267
114	0.750936637
115	0.750285149
116	0.7497553988
117	0.7494481983
118	0.7483881347
119	0.7481838956
120	0.7479128332
121	0.7475169264
122	0.7473277897
123	0.7465644827
124	0.7462501722
125	0.7456778353
126	0.7452755817
127	0.7443546341
128	0.743790811
129	0.7436304608
130	0.7431877516
131	0.7430204407
132	0.7427748685
133	0.7422678601
134	0.7421105516
135	0.7419805604
136	0.7415056724
137	0.741327708
138	0.7411207933
139	0.7405709051
140	0.7401465023
141	0.7400219472
142	0.7387736733
143	0.7384842495
144	0.738108584
145	0.7378963631
146	0.7377980552
147	0.7374737195
148	0.7372650091
149	0.736316338
150	0.7359994232
151	0.7354529197
152	0.7353307664
153	0.7351282226
154	0.7350439769
155	0.7349423322
156	0.734791525
157	0.7346116571
158	0.7345065934
159	0.7344349383
160	0.7342035434
161	0.734116356
162	0.7339663824
163	0.7338373346
164	0.7336287566
165	0.7331981115
166	0.7325168932
167	0.7322958209
168	0.7320577169
169	0.7318243164
170	0.7316494615
171	0.731537037
172	0.7314006608
173	0.730745572
174	0.7301563839
175	0.7299245709
176	0.7296209416
177	0.7295420678
178	0.7294487823
179	0.7293286733
180	0.7290958574
181	0.7289777429
182	0.7288261624
183	0.728689354
184	0.7285980392
185	0.7282256129
186	0.728073686
187	0.7279826557
188	0.7270876444
189	0.7269701708
190	0.7262759892
191	0.7261864408
192	0.7256928386
193	0.7255547656
194	0.7254523314
195	0.7252506063
196	0.7251018439
197	0.7250146446
198	0.7247656706
199	0.7246346237
200	0.7243260836
201	0.7242322124
202	0.7240204374
203	0.7239212077
204	0.7238565354
205	0.7236971798
206	0.7236091377
207	0.7235298441
208	0.7234677505
209	0.7233671829
210	0.7231788693
211	0.7228450341
212	0.7225511506
213	0.7223340326
214	0.7222633141
215	0.7221741147
216	0.7220577212
217	0.7216744153
218	0.7215847841
219	0.721568341
220	0.7214931292
221	0.7210111949
222	0.7209101305
223	0.7208059221
224	0.7207049549
225	0.7206334161
226	0.7202891733
227	0.7202534678
228	0.7202125029
229	0.7201534099
230	0.7195461522
231	0.7194870862
232	0.7193932898
233	0.7188402751
234	0.7185714424
235	0.7185088029
236	0.7183470246
237	0.7179723802
238	0.717914778
239	0.7174995804
240	0.7173734323
241	0.7168982865
242	0.7167723349
243	0.7166942025
244	0.7161786617
245	0.7155512367
246	0.7153214809
247	0.7152817372
248	0.7149500906
249	0.714868832
250	0.7147785333
251	0.7146080226
252	0.714390055
253	0.7143158814
254	0.7141583412
255	0.71404772
256	0.7139622871
257	0.7136950462
258	0.7135436285
259	0.71343246
260	0.7133734866
261	0.7129920931
262	0.7129457231
263	0.7128681196
264	0.7128201535
265	0.7123866934
266	0.7121926697
267	0.7121056457
268	0.7114859452
269	0.7113328007
270	0.7112893675
271	0.7111661605
272	0.7111244498
273	0.7108484686
274	0.7107321751
275	0.7106499709
276	0.7106141863
277	0.7104774767
278	0.7104330777
279	0.7101777715
280	0.7094600155
281	0.7093261383
282	0.709032787
283	0.7089971495
284	0.7089577256
285	0.7088958777
286	0.7087537984
287	0.7086044481
288	0.7085092389
289	0.7084450511
290	0.7083916409
291	0.7077567145
292	0.7073955823
293	0.7073172885
294	0.7072483188
295	0.7071761281
296	0.7066204477
297	0.7065176624
298	0.7063979429
299	0.7063336842
300	0.7062689007
301	0.706245154
302	0.7061931805
303	0.7060807
304	0.706025524
305	0.7059578337
306	0.7059067347
307	0.705573958
308	0.7053525278
309	0.7053161945
310	0.7051665969
311	0.7051360821
312	0.70493821
313	0.7041406117
314	0.703373633
315	0.7027759674
316	0.7025094077
317	0.7018117923
318	0.7011550257
319	0.7010987171
320	0.700957865
321	0.7003897357
322	0.700347205
323	0.7000324765
324	0.6999846527
325	0.6999224402
326	0.6996827073
327	0.6989259779
328	0.6988724088
329	0.6984806423
330	0.6976793097
331	0.6971249337
332	0.6970336155
333	0.6969250067
334	0.6964102079
335	0.696361107
336	0.6962893404
337	0.6962468736
338	0.6955635873
339	0.6955221576
340	0.6950202147
341	0.6949174731
342	0.6948613635
343	0.6945310067
344	0.6939376412
345	0.6932446016
346	0.6931654526
347	0.6931282512
348	0.6930467659
349	0.6923957856
350	0.6920760229
351	0.6916810501
352	0.691487281
353	0.6906671274
354	0.6900569185
355	0.690005785
356	0.6896117884
357	0.6890086623
358	0.6885790613
359	0.6884442403
360	0.6879521707
361	0.6878770515
362	0.6876985167
363	0.687364903
364	0.6868959986
365	0.68681995
366	0.6864398819
367	0.6858074413
368	0.6856225472
369	0.6855951656
370	0.6855511689
371	0.6854621683
372	0.6854228564
373	0.6852070122
374	0.6848462831
375	0.6845610787
376	0.6842309862
377	0.6837937163
378	0.6837331746
379	0.6833875346
380	0.6833497204
381	0.6832377198
382	0.6828539347
383	0.6821458651
384	0.6818724593
385	0.6818154805
386	0.6817329166
387	0.6810602388
388	0.6804470151
389	0.6804168955
390	0.6803548657
391	0.6798542984
392	0.6790298721
393	0.6786295441
394	0.6783216914
395	0.6779994469
396	0.6777948939
397	0.6774702542
398	0.6773307322
399	0.6772917241
400	0.6772216686
401	0.6768844268
402	0.676809213
403	0.6766131167
404	0.6763574651
405	0.6757493137
406	0.6756104767
407	0.6752268449
408	0.6749212773
409	0.6742781028
410	0.6737236061
411	0.6733481415
412	0.6733026624
413	0.6732310797
414	0.6728653034
415	0.6726817666
416	0.6722278753
417	0.6721877514
418	0.67191581
419	0.6712679723
420	0.6712229946
421	0.6706530272
422	0.6706080737
423	0.670384308
424	0.67032682
425	0.6702642309
426	0.6701833746
427	0.6697755216
428	0.6696920624
429	0.6692617233
430	0.6689177191
431	0.6688441335
432	0.6685929989
433	0.6683812259
434	0.6678578395
435	0.6673162439
436	0.6665087238
437	0.66609711
438	0.666004814
439	0.6655658848
440	0.6653171291
441	0.6647696824
442	0.6645889633
443	0.6642943466
444	0.6636200354
445	0.663455228
446	0.6629442025
447	0.6628529864
448	0.6628356186
449	0.6627348542
450	0.6626464299
451	0.6621152236
452	0.6620090023
453	0.6614877816
454	0.6614221325
455	0.6608525461
456	0.6607902691
457	0.6597838364
458	0.6597213928
459	0.659288055
460	0.6586955728
461	0.6582441842
462	0.6572896767
463	0.6567677066
464	0.656639241
465	0.6563359458
466	0.6562540858
467	0.6562331424
468	0.6559090179
469	0.6555343792
470	0.6546795036
471	0.653826851
472	0.6532991874
473	0.6530124829
474	0.6529658749
475	0.6524745294
476	0.6520529007
477	0.6519827762
478	0.6514750338
479	0.6512155001
480	0.6504512591
481	0.6504123183
482	0.6501550345
483	0.6494736695
484	0.6493148575
485	0.6486441045
486	0.6485668327
487	0.6485149459
488	0.6484261393
489	0.6480967266
490	0.648023482
491	0.6472055223
492	0.6471515497
493	0.6471184377
494	0.6470419092
495	0.6468793029
496	0.6464626345
497	0.6464525891
498	0.6456515204
499	0.6455895494
500	0.6449006182
501	0.6441390435
502	0.6436113365
503	0.6434955296
504	0.64341233
505	0.6430875487
506	0.6430285991
507	0.6429701047
508	0.6427684959
509	0.642742595
510	0.64206584
511	0.6420647922
512	0.6418490888
513	0.64175125
514	0.6412933819
515	0.6412512626
516	0.6410416381
517	0.6408437513
518	0.6406171738
519	0.6399019387
520	0.6394208701
521	0.6392012393
522	0.6391349896
523	0.6386957491
524	0.6386452479
525	0.6381006224
526	0.637438138
527	0.637018206
528	0.6369654058
529	0.6365204446
530	0.6364961404
531	0.6363254687
532	0.6356500418
533	0.6356225248
