iter	Passed	Remaining
0	26	26961
1	51	25683
2	77	25757
3	105	26353
4	134	26759
5	160	26568
6	185	26342
7	210	26101
8	236	26069
9	261	25903
10	288	25963
11	313	25835
12	338	25723
13	363	25586
14	389	25575
15	413	25439
16	440	25466
17	465	25376
18	491	25387
19	516	25296
20	541	25264
21	566	25183
22	592	25174
23	619	25190
24	644	25117
25	671	25172
26	704	25404
27	736	25580
28	764	25600
29	793	25646
30	820	25657
31	850	25729
32	879	25771
33	911	25895
34	942	25987
35	971	26022
36	1001	26057
37	1031	26108
38	1061	26147
39	1086	26078
40	1112	26026
41	1138	25968
42	1163	25901
43	1188	25832
44	1216	25811
45	1245	25824
46	1271	25788
47	1297	25733
48	1328	25778
49	1361	25863
50	1392	25907
51	1421	25912
52	1451	25930
53	1484	25999
54	1518	26091
55	1550	26137
56	1578	26112
57	1609	26133
58	1638	26138
59	1667	26117
60	1694	26077
61	1720	26033
62	1745	25967
63	1772	25923
64	1798	25869
65	1828	25870
66	1858	25882
67	1899	26029
68	1931	26056
69	1965	26118
70	2001	26183
71	2031	26184
72	2063	26208
73	2095	26216
74	2123	26188
75	2149	26128
76	2174	26070
77	2199	25999
78	2225	25950
79	2252	25909
80	2283	25905
81	2313	25895
82	2345	25913
83	2379	25946
84	2411	25954
85	2439	25929
86	2469	25913
87	2498	25897
88	2529	25892
89	2558	25866
90	2583	25803
91	2608	25748
92	2630	25655
93	2661	25656
94	2681	25543
95	2712	25546
96	2748	25584
97	2793	25715
98	2829	25751
99	2859	25732
100	2893	25757
101	2923	25738
102	2954	25725
103	2984	25708
104	3014	25691
105	3045	25682
106	3072	25646
107	3085	25484
108	3112	25440
109	3137	25381
110	3162	25325
111	3189	25287
112	3217	25252
113	3245	25224
114	3271	25178
115	3297	25131
116	3323	25086
117	3350	25042
118	3366	24920
119	3394	24893
120	3419	24844
121	3450	24832
122	3476	24785
123	3502	24741
124	3527	24694
125	3556	24671
126	3585	24643
127	3614	24624
128	3641	24586
129	3667	24542
130	3694	24506
131	3726	24501
132	3759	24504
133	3786	24468
134	3813	24432
135	3842	24413
136	3862	24329
137	3887	24285
138	3915	24252
139	3940	24207
140	3965	24160
141	3993	24127
142	4019	24087
143	4044	24042
144	4070	24001
145	4094	23950
146	4119	23905
147	4144	23860
148	4169	23811
149	4193	23765
150	4220	23728
151	4245	23687
152	4271	23646
153	4296	23600
154	4320	23552
155	4338	23475
156	4364	23436
157	4385	23369
158	4412	23337
159	4439	23308
160	4465	23272
161	4504	23303
162	4537	23301
163	4571	23302
164	4602	23292
165	4636	23294
166	4669	23290
167	4704	23298
168	4737	23295
169	4769	23287
170	4802	23280
171	4833	23270
172	4860	23235
173	4887	23199
174	4912	23159
175	4943	23145
176	4977	23145
177	5010	23138
178	5042	23128
179	5077	23131
180	5107	23112
181	5138	23094
182	5171	23088
183	5200	23063
184	5227	23031
185	5254	22997
186	5284	22974
187	5315	22956
188	5347	22947
189	5376	22921
190	5408	22908
191	5439	22891
192	5468	22866
193	5500	22852
194	5530	22829
195	5557	22796
196	5582	22753
197	5609	22721
198	5640	22702
199	5671	22685
200	5700	22661
201	5730	22637
202	5759	22613
203	5787	22581
204	5817	22561
205	5846	22532
206	5878	22521
207	5908	22496
208	5936	22466
209	5966	22445
210	5995	22419
211	6022	22384
212	6052	22362
213	6078	22324
214	6104	22289
215	6131	22256
216	6157	22218
217	6184	22186
218	6210	22149
219	6236	22109
220	6264	22080
221	6290	22045
222	6315	22006
223	6340	21964
224	6367	21932
225	6395	21902
226	6421	21865
227	6450	21842
228	6477	21809
229	6508	21789
230	6537	21762
231	6563	21726
232	6590	21693
233	6620	21671
234	6650	21648
235	6678	21620
236	6704	21584
237	6732	21553
238	6758	21519
239	6786	21492
240	6814	21460
241	6843	21434
242	6871	21407
243	6900	21381
244	6926	21344
245	6951	21308
246	6978	21273
247	7002	21234
248	7029	21201
249	7055	21167
250	7082	21134
251	7107	21096
252	7132	21058
